Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate,LGA
2021,June,4 Western,Total,58390,5574.708638,Total
2021,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1185,,Justice Institutions and Immigration Facilities
2021,June,Justice Institutions and Immigration Facilities,Total,1185,,Total
2021,June,Unincorporated Vic, Unincorporated Vic,31,,Unincorporated Vic
2021,June,Unincorporated Vic,Total,31,,Total
2020,June,1 North West Metro, Banyule,6918,5316.589943,Banyule
2020,June,1 North West Metro, Brimbank,15623,7658.370874,Brimbank
2020,June,1 North West Metro, Darebin,11681,7446.150708,Darebin
2020,June,1 North West Metro, Hobsons Bay,4741,4986.904248,Hobsons Bay
2020,June,1 North West Metro, Hume,15616,6419.680003,Hume
2020,June,1 North West Metro, Maribyrnong,7308,8183.009171,Maribyrnong
2020,June,1 North West Metro, Melbourne,26373,15440.32411,Melbourne
2020,June,1 North West Metro, Melton,9591,5536.537918,Melton
2020,June,1 North West Metro, Moonee Valley,6638,5242.292141,Moonee Valley
2020,June,1 North West Metro, Moreland,11026,6131.857743,Moreland
2020,June,1 North West Metro, Nillumbik,1626,2531.251459,Nillumbik
2020,June,1 North West Metro, Whittlesea,12062,5228.503188,Whittlesea
2020,June,1 North West Metro, Wyndham,13724,4785.282919,Wyndham
2020,June,1 North West Metro, Yarra,11444,11853.29425,Yarra
2020,June,1 North West Metro,Total,154371,6868.950161,Total
2020,June,2 Eastern, Alpine,440,3377.341111,Alpine
2020,June,2 Eastern, Bass Coast,1853,4767.295274,Bass Coast
2020,June,2 Eastern, Baw Baw,3601,6471.14849,Baw Baw
2020,June,2 Eastern, Benalla,950,6616.520407,Benalla
2020,June,2 Eastern, Boroondara,6767,3807.632145,Boroondara
2020,June,2 Eastern, East Gippsland,3664,7666.875915,East Gippsland
2020,June,2 Eastern, Greater Shepparton,6327,9252.976103,Greater Shepparton
2020,June,2 Eastern, Indigo,444,2598.162561,Indigo
2020,June,2 Eastern, Knox,9054,5553.885696,Knox
2020,June,2 Eastern, Latrobe,10060,13135.90306,Latrobe
2020,June,2 Eastern, Manningham,3578,2799.314645,Manningham
2020,June,2 Eastern, Mansfield,325,3325.828899,Mansfield
2020,June,2 Eastern, Maroondah,5864,4963.812587,Maroondah
2020,June,2 Eastern, Mitchell,3169,6604.284762,Mitchell
2020,June,2 Eastern, Moira,1760,5819.336067,Moira
2020,June,2 Eastern, Monash,9522,4745.766091,Monash
2020,June,2 Eastern, Murrindindi,627,4223.075369,Murrindindi
2020,June,2 Eastern, South Gippsland,1281,4238.634108,South Gippsland
2020,June,2 Eastern, Strathbogie,428,3842.355687,Strathbogie
2020,June,2 Eastern, Towong,154,2500,Towong
2020,June,2 Eastern, Wangaratta,1787,6064.20524,Wangaratta
2020,June,2 Eastern, Wellington,3314,7359.701526,Wellington
2020,June,2 Eastern, Whitehorse,7377,4176.716377,Whitehorse
2020,June,2 Eastern, Wodonga,2818,6616.887386,Wodonga
2020,June,2 Eastern, Yarra Ranges,6141,3870.613966,Yarra Ranges
2020,June,2 Eastern,Total,91305,5302.843748,Total
2020,June,3 Southern Metro, Bayside,4059,3870.1004,Bayside
2020,June,3 Southern Metro, Cardinia,5435,4673.178449,Cardinia
2020,June,3 Southern Metro, Casey,17372,4780.565126,Casey
2020,June,3 Southern Metro, Frankston,11253,7925.540906,Frankston
2020,June,3 Southern Metro, Glen Eira,6313,4086.560247,Glen Eira
2020,June,3 Southern Metro, Greater Dandenong,14563,8800.565634,Greater Dandenong
2020,June,3 Southern Metro, Kingston,8908,5465.634242,Kingston
2020,June,3 Southern Metro, Mornington Peninsula,8707,5124.387186,Mornington Peninsula
2020,June,3 Southern Metro, Port Phillip,9868,8931.933382,Port Phillip
2020,June,3 Southern Metro, Stonnington,9349,8308.449753,Stonnington
2020,June,3 Southern Metro,Total,95827,5980.164926,Total
2020,June,4 Western, Ararat,1002,8422.999328,Ararat
2020,June,4 Western, Ballarat,8456,7585.489253,Ballarat
2020,June,4 Western, Buloke,281,4572.079401,Buloke
2020,June,4 Western, Campaspe,2647,6908.160869,Campaspe
2020,June,4 Western, Central Goldfields,858,6459.870501,Central Goldfields
2020,June,4 Western, Colac Otway,1378,6196.600414,Colac Otway
2020,June,4 Western, Corangamite,576,3580.976065,Corangamite
2020,June,4 Western, Gannawarra,591,5597.65107,Gannawarra
2020,June,4 Western, Glenelg,1145,5717.567163,Glenelg
2020,June,4 Western, Golden Plains,468,1924.183866,Golden Plains
2020,June,4 Western, Greater Bendigo,8265,6901.821279,Greater Bendigo
2020,June,4 Western, Greater Geelong,17107,6442.198339,Greater Geelong
2020,June,4 Western, Hepburn,696,4267.320662,Hepburn
2020,June,4 Western, Hindmarsh,255,4505.300353,Hindmarsh
2020,June,4 Western, Horsham,1457,7159.353349,Horsham
2020,June,4 Western, Loddon,364,4761.904762,Loddon
2020,June,4 Western, Macedon Ranges,1736,3416.919262,Macedon Ranges
2020,June,4 Western, Mildura,5506,9616.291458,Mildura
2020,June,4 Western, Moorabool,1708,4630.985304,Moorabool
2020,June,4 Western, Mount Alexander,847,4254.998493,Mount Alexander
2020,June,4 Western, Moyne,501,2936.005626,Moyne
2020,June,4 Western, Northern Grampians,777,6592.008145,Northern Grampians
2020,June,4 Western, Pyrenees,363,4820.717131,Pyrenees
2020,June,4 Western, Queenscliffe,98,3172.54775,Queenscliffe
2020,June,4 Western, Southern Grampians,888,5388.676497,Southern Grampians
2020,June,4 Western, Surf Coast,1056,2953.185301,Surf Coast
2020,June,4 Western, Swan Hill,1757,8182.749627,Swan Hill
2020,June,4 Western, Warrnambool,2395,6773.573166,Warrnambool
2020,June,4 Western, West Wimmera,137,3435.305918,West Wimmera
2020,June,4 Western, Yarriambiack,353,5321.875471,Yarriambiack
2020,June,4 Western,Total,63668,6159.72841,Total
2020,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1424,,Justice Institutions and Immigration Facilities
2020,June,Justice Institutions and Immigration Facilities,Total,1424,,Total
2020,June,Unincorporated Vic, Unincorporated Vic,110,,Unincorporated Vic
2020,June,Unincorporated Vic,Total,110,,Total
2019,June,1 North West Metro, Banyule,7038,5394.012784,Banyule
2019,June,1 North West Metro, Brimbank,14162,6854.426918,Brimbank
2019,June,1 North West Metro, Darebin,11165,7104.134587,Darebin
2019,June,1 North West Metro, Hobsons Bay,4866,5083.258467,Hobsons Bay
2019,June,1 North West Metro, Hume,15697,6676.988911,Hume
2019,June,1 North West Metro, Maribyrnong,6664,7455.973506,Maribyrnong
2019,June,1 North West Metro, Melbourne,26152,15463.39329,Melbourne
2019,June,1 North West Metro, Melton,8332,5040.684836,Melton
2019,June,1 North West Metro, Moonee Valley,6252,4950.628331,Moonee Valley
2019,June,1 North West Metro, Moreland,10985,6131.048725,Moreland
2019,June,1 North West Metro, Nillumbik,1683,2613.27288,Nillumbik
2019,June,1 North West Metro, Whittlesea,11905,5271.781247,Whittlesea
2019,June,1 North West Metro, Wyndham,11723,4296.468415,Wyndham
2019,June,1 North West Metro, Yarra,10984,11387.22151,Yarra
2019,June,1 North West Metro,Total,147608,6667.455636,Total
2019,June,2 Eastern, Alpine,412,3197.764669,Alpine
2019,June,2 Eastern, Bass Coast,1810,4841.90252,Bass Coast
2019,June,2 Eastern, Baw Baw,3335,6179.358903,Baw Baw
2019,June,2 Eastern, Benalla,919,6463.183065,Benalla
2019,June,2 Eastern, Boroondara,5586,3111.163094,Boroondara
2019,June,2 Eastern, East Gippsland,3240,6835.298833,East Gippsland
2019,June,2 Eastern, Greater Shepparton,6197,9158.89508,Greater Shepparton
2019,June,2 Eastern, Indigo,410,2431.935465,Indigo
2019,June,2 Eastern, Knox,8044,4930.643668,Knox
2019,June,2 Eastern, Latrobe,9819,12915.31844,Latrobe
2019,June,2 Eastern, Manningham,3514,2772.430334,Manningham
2019,June,2 Eastern, Mansfield,328,3488.619443,Mansfield
2019,June,2 Eastern, Maroondah,6033,5119.219347,Maroondah
2019,June,2 Eastern, Mitchell,3074,6638.161873,Mitchell
2019,June,2 Eastern, Moira,1791,5958.282045,Moira
2019,June,2 Eastern, Monash,8215,4114.577073,Monash
2019,June,2 Eastern, Murrindindi,570,3872.545689,Murrindindi
