Year,Local Government Area,Criminal Incident Rate,LGA
2016, Moreland,"6,852.20",Moreland
2016, Nillumbik,"3,292.60",Nillumbik
2016, Whittlesea,"5,782.90",Whittlesea
2016, Wyndham,"5,447.40",Wyndham
2016, Yarra,"11,547.60",Yarra
2016, Alpine,"2,345.40",Alpine
2016, Bass Coast,"6,027.40",Bass Coast
2016, Baw Baw,"5,675.90",Baw Baw
2016, Benalla,"6,773.00",Benalla
2016, Boroondara,"3,578.00",Boroondara
2016, East Gippsland,"7,046.10",East Gippsland
2016, Greater Shepparton,"9,050.00",Greater Shepparton
2016, Indigo,"2,202.30",Indigo
2016, Knox,"5,020.80",Knox
2016, Latrobe,"13,202.50",Latrobe
2016, Manningham,"2,810.60",Manningham
2016, Mansfield,"5,084.20",Mansfield
2016, Maroondah,"5,530.50",Maroondah
2016, Mitchell,"7,410.00",Mitchell
2016, Moira,"4,090.10",Moira
2016, Monash,"4,236.20",Monash
2016, Murrindindi,"4,049.20",Murrindindi
2016, South Gippsland,"3,248.40",South Gippsland
2016, Strathbogie,"4,064.90",Strathbogie
2016, Towong,"3,175.70",Towong
2016, Wangaratta,"6,026.20",Wangaratta
2016, Wellington,"7,353.50",Wellington
2016, Whitehorse,"3,365.30",Whitehorse
2016, Wodonga,"6,379.10",Wodonga
2016, Yarra Ranges,"3,958.10",Yarra Ranges
2016, Bayside,"3,857.70",Bayside
2016, Cardinia,"5,214.60",Cardinia
2016, Casey,"5,255.90",Casey
2016, Frankston,"8,292.40",Frankston
2016, Glen Eira,"3,630.30",Glen Eira
2016, Greater Dandenong,"9,123.00",Greater Dandenong
2016, Kingston,"5,271.80",Kingston
2016, Mornington Peninsula,"5,405.90",Mornington Peninsula
2016, Port Phillip,"9,356.80",Port Phillip
2016, Stonnington,"7,652.90",Stonnington
2016, Ararat,"7,467.00",Ararat
2016, Ballarat,"8,652.20",Ballarat
2016, Buloke,"2,944.00",Buloke
2016, Campaspe,"6,966.40",Campaspe
2016, Central Goldfields,"7,595.30",Central Goldfields
2016, Colac-Otway,"5,804.70",Colac-Otway
2016, Corangamite,"3,706.20",Corangamite
2016, Gannawarra,"4,163.90",Gannawarra
2016, Glenelg,"6,655.20",Glenelg
2016, Golden Plains,"2,929.70",Golden Plains
2016, Greater Bendigo,"6,207.50",Greater Bendigo
2016, Greater Geelong,"7,506.00",Greater Geelong
2016, Hepburn,"4,161.00",Hepburn
2016, Hindmarsh,"3,388.70",Hindmarsh
2016, Horsham,"9,414.60",Horsham
2016, Loddon,"4,763.20",Loddon
2016, Macedon Ranges,"3,296.10",Macedon Ranges
2016, Mildura,"8,721.50",Mildura
2016, Moorabool,"5,368.50",Moorabool
2016, Mount Alexander,"4,780.90",Mount Alexander
2016, Moyne,"2,551.20",Moyne
2016, Northern Grampians,"7,458.90",Northern Grampians
2016, Pyrenees,"5,399.10",Pyrenees
2016, Queenscliffe,"5,018.80",Queenscliffe
2016, Southern Grampians,"5,551.10",Southern Grampians
2016, Surf Coast,"3,768.30",Surf Coast
2016, Swan Hill,"7,982.40",Swan Hill
2016, Warrnambool,"6,641.00",Warrnambool
2016, West Wimmera,"2,717.80",West Wimmera
2016, Yarriambiack,"5,071.90",Yarriambiack
2015, Banyule,"5,384.30",Banyule
2015, Brimbank,"7,082.00",Brimbank
2015, Darebin,"7,181.50",Darebin
2015, Hobsons Bay,"5,823.90",Hobsons Bay
2015, Hume,"7,067.50",Hume
2015, Maribyrnong,"7,605.30",Maribyrnong
2015, Melbourne,"17,802.80",Melbourne
2015, Melton,"5,696.90",Melton
2015, Moonee Valley,"5,475.30",Moonee Valley
2015, Moreland,"6,206.60",Moreland
2015, Nillumbik,"2,716.90",Nillumbik
2015, Whittlesea,"5,049.60",Whittlesea
2015, Wyndham,"4,805.60",Wyndham
2015, Yarra,"10,802.60",Yarra
2015, Alpine,"2,630.90",Alpine
