Year,Year ending,Age Group,Sex,Harm Caused Flag,Victim Reports
2020,June,60-64,Females,High Harm,354
2020,June,60-64,Females,Low Harm,3015
2020,June,60-64,Females,Medium Harm,743
2020,June,60-64,Males,High Harm,457
2020,June,60-64,Males,Low Harm,4660
2020,June,60-64,Males,Medium Harm,1106
2020,June,60-64,People,High Harm,811
2020,June,60-64,People,Low Harm,7675
2020,June,60-64,People,Medium Harm,1849
2020,June,65-69,Females,High Harm,235
2020,June,65-69,Females,Low Harm,2084
2020,June,65-69,Females,Medium Harm,524
2020,June,65-69,Males,High Harm,285
2020,June,65-69,Males,Low Harm,3439
2020,June,65-69,Males,Medium Harm,720
2020,June,65-69,People,High Harm,520
2020,June,65-69,People,Low Harm,5523
2020,June,65-69,People,Medium Harm,1244
2020,June,70-74,Females,High Harm,164
2020,June,70-74,Females,Low Harm,1570
2020,June,70-74,Females,Medium Harm,353
2020,June,70-74,Males,High Harm,199
2020,June,70-74,Males,Low Harm,2297
2020,June,70-74,Males,Medium Harm,512
2020,June,70-74,People,High Harm,363
2020,June,70-74,People,Low Harm,3867
2020,June,70-74,People,Medium Harm,865
2020,June,75+,Females,High Harm,296
2020,June,75+,Females,Low Harm,2070
2020,June,75+,Females,Medium Harm,451
2020,June,75+,Males,High Harm,199
2020,June,75+,Males,Low Harm,2523
2020,June,75+,Males,Medium Harm,559
2020,June,75+,People,High Harm,495
2020,June,75+,People,Low Harm,4596
2020,June,75+,People,Medium Harm,1012
2020,June,Total,Females,High Harm,17441
2020,June,Total,Females,Low Harm,60073
2020,June,Total,Females,Medium Harm,24881
2020,June,Total,Males,High Harm,16543
2020,June,Total,Males,Low Harm,82815
2020,June,Total,Males,Medium Harm,24922
2020,June,Total,People,High Harm,34151
2020,June,Total,People,Low Harm,145458
2020,June,Total,People,Medium Harm,50254
2019,June,0-4,Females,High Harm,175
2019,June,0-4,Females,Low Harm,32
2019,June,0-4,Females,Medium Harm,143
2019,June,0-4,Males,High Harm,155
2019,June,0-4,Males,Low Harm,37
2019,June,0-4,Males,Medium Harm,166
2019,June,0-4,People,High Harm,331
2019,June,0-4,People,Low Harm,69
2019,June,0-4,People,Medium Harm,309
2019,June,5-9,Females,High Harm,340
2019,June,5-9,Females,Low Harm,16
2019,June,5-9,Females,Medium Harm,237
2019,June,5-9,Males,High Harm,271
2019,June,5-9,Males,Low Harm,33
2019,June,5-9,Males,Medium Harm,399
2019,June,5-9,People,High Harm,611
2019,June,5-9,People,Low Harm,49
2019,June,5-9,People,Medium Harm,636
2019,June,10-14,Females,High Harm,1258
2019,June,10-14,Females,Low Harm,174
2019,June,10-14,Females,Medium Harm,865
2019,June,10-14,Males,High Harm,724
2019,June,10-14,Males,Low Harm,450
2019,June,10-14,Males,Medium Harm,849
2019,June,10-14,People,High Harm,1982
2019,June,10-14,People,Low Harm,624
2019,June,10-14,People,Medium Harm,1714
2019,June,15-17,Females,High Harm,1649
2019,June,15-17,Females,Low Harm,449
2019,June,15-17,Females,Medium Harm,1036
2019,June,15-17,Males,High Harm,1056
2019,June,15-17,Males,Low Harm,884
2019,June,15-17,Males,Medium Harm,958
2019,June,15-17,People,High Harm,2705
2019,June,15-17,People,Low Harm,1334
2019,June,15-17,People,Medium Harm,1994
2019,June,18-19,Females,High Harm,948
2019,June,18-19,Females,Low Harm,1395
2019,June,18-19,Females,Medium Harm,845
2019,June,18-19,Males,High Harm,717
2019,June,18-19,Males,Low Harm,1699
2019,June,18-19,Males,Medium Harm,826
2019,June,18-19,People,High Harm,1665
2019,June,18-19,People,Low Harm,3094
2019,June,18-19,People,Medium Harm,1671
2019,June,20-24,Females,High Harm,2301
2019,June,20-24,Females,Low Harm,5938
2019,June,20-24,Females,Medium Harm,2947
2019,June,20-24,Males,High Harm,1935
2019,June,20-24,Males,Low Harm,7503
2019,June,20-24,Males,Medium Harm,2797
2019,June,20-24,People,High Harm,4236
2019,June,20-24,People,Low Harm,13444
2019,June,20-24,People,Medium Harm,5745
2019,June,25-29,Females,High Harm,2308
2019,June,25-29,Females,Low Harm,7183
2019,June,25-29,Females,Medium Harm,3253
2019,June,25-29,Males,High Harm,2085
2019,June,25-29,Males,Low Harm,9661
2019,June,25-29,Males,Medium Harm,3071
2019,June,25-29,People,High Harm,4394
2019,June,25-29,People,Low Harm,16847
2019,June,25-29,People,Medium Harm,6325
2019,June,30-34,Females,High Harm,1904
2019,June,30-34,Females,Low Harm,6610
2019,June,30-34,Females,Medium Harm,2986
2019,June,30-34,Males,High Harm,1837
2019,June,30-34,Males,Low Harm,9848
2019,June,30-34,Males,Medium Harm,2816
2019,June,30-34,People,High Harm,3741
2019,June,30-34,People,Low Harm,16471
2019,June,30-34,People,Medium Harm,5803
2019,June,35-39,Females,High Harm,1577
2019,June,35-39,Females,Low Harm,5907
2019,June,35-39,Females,Medium Harm,2646
2019,June,35-39,Males,High Harm,1509
2019,June,35-39,Males,Low Harm,8680
2019,June,35-39,Males,Medium Harm,2362
2019,June,35-39,People,High Harm,3088
2019,June,35-39,People,Low Harm,14601
2019,June,35-39,People,Medium Harm,5009
2019,June,40-44,Females,High Harm,1244
2019,June,40-44,Females,Low Harm,5384
2019,June,40-44,Females,Medium Harm,2222
2019,June,40-44,Males,High Harm,1269
2019,June,40-44,Males,Low Harm,7360
2019,June,40-44,Males,Medium Harm,2013
2019,June,40-44,People,High Harm,2513
2019,June,40-44,People,Low Harm,12757
2019,June,40-44,People,Medium Harm,4235
2019,June,45-49,Females,High Harm,1210
2019,June,45-49,Females,Low Harm,5374
2019,June,45-49,Females,Medium Harm,2082
2019,June,45-49,Males,High Harm,1228
2019,June,45-49,Males,Low Harm,7226
