Year,Year ending,Police Region,Local Government Area,Family Incidents,Rate
2019,June,4 Western, Macedon Ranges,455.00,908.22
2019,June,4 Western, Mildura,1801.00,3175.86
2019,June,4 Western, Moorabool,465.00,1300.74
2019,June,4 Western, Mount Alexander,211.00,1072.59
2019,June,4 Western, Moyne,136.00,801.08
2019,June,4 Western, Northern Grampians,227.00,1940.83
2019,June,4 Western, Pyrenees,89.00,1196.56
2019,June,4 Western, Queenscliffe,13.00,438.01
2019,June,4 Western, Southern Grampians,281.00,1717.60
2019,June,4 Western, Surf Coast,237.00,693.71
2019,June,4 Western, Swan Hill,647.00,3025.20
2019,June,4 Western, Warrnambool,714.00,2036.51
2019,June,4 Western, West Wimmera,50.00,1258.18
2019,June,4 Western, Yarriambiack,97.00,1454.49
2019,June,4 Western,Total,16194.00,1591.06
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,105.00,
2019,June,Justice Institutions and Immigration Facilities,Total,105.00,
2019,June,Unincorporated Vic, Unincorporated Vic,7.00,
2019,June,Unincorporated Vic,Total,7.00,
2018,June,1 North West Metro, Banyule,1369.00,1056.75
2018,June,1 North West Metro, Brimbank,2551.00,1233.27
2018,June,1 North West Metro, Darebin,1696.00,1080.26
2018,June,1 North West Metro, Hobsons Bay,982.00,1032.81
2018,June,1 North West Metro, Hume,3373.00,1496.94
2018,June,1 North West Metro, Maribyrnong,795.00,895.19
2018,June,1 North West Metro, Melbourne,1689.00,1033.27
2018,June,1 North West Metro, Melton,2034.00,1296.77
2018,June,1 North West Metro, Moonee Valley,1055.00,841.33
2018,June,1 North West Metro, Moreland,1829.00,1030.07
2018,June,1 North West Metro, Nillumbik,396.00,614.02
2018,June,1 North West Metro, Whittlesea,3182.00,1443.63
2018,June,1 North West Metro, Wyndham,2739.00,1066.76
2018,June,1 North West Metro, Yarra,951.00,996.44
2018,June,1 North West Metro,Total,24641.00,1139.21
2018,June,2 Eastern, Alpine,99.00,773.01
2018,June,2 Eastern, Bass Coast,577.00,1600.95
2018,June,2 Eastern, Baw Baw,846.00,1614.75
2018,June,2 Eastern, Benalla,337.00,2382.47
2018,June,2 Eastern, Boroondara,801.00,446.75
2018,June,2 Eastern, East Gippsland,1258.00,2686.03
2018,June,2 Eastern, Greater Shepparton,1462.00,2189.44
2018,June,2 Eastern, Indigo,115.00,692.85
2018,June,2 Eastern, Knox,1587.00,977.58
2018,June,2 Eastern, Latrobe,2604.00,3448.41
2018,June,2 Eastern, Manningham,710.00,568.02
2018,June,2 Eastern, Mansfield,83.00,907.90
2018,June,2 Eastern, Maroondah,1021.00,872.40
2018,June,2 Eastern, Mitchell,979.00,2199.41
2018,June,2 Eastern, Moira,494.00,1653.22
2018,June,2 Eastern, Monash,1255.00,634.09
2018,June,2 Eastern, Murrindindi,151.00,1037.94
2018,June,2 Eastern, South Gippsland,331.00,1119.11
2018,June,2 Eastern, Strathbogie,151.00,1408.06
2018,June,2 Eastern, Towong,67.00,1099.44
2018,June,2 Eastern, Wangaratta,483.00,1651.79
2018,June,2 Eastern, Wellington,804.00,1819.37
2018,June,2 Eastern, Whitehorse,1070.00,613.77
2018,June,2 Eastern, Wodonga,743.00,1790.40
2018,June,2 Eastern, Yarra Ranges,1593.00,1010.17
2018,June,2 Eastern,Total,19621.00,1158.18
2018,June,3 Southern Metro, Bayside,733.00,701.13
2018,June,3 Southern Metro, Cardinia,1073.00,1004.31
